Country,NumberofpregnantwomenlivingwithHIVwhoreceivedantiretrovirals,EstimatednumberofpregnantwomenlivingwithHIVneedingantiretroviralsforprevention,EstimatedpercentageofpregnantwomenlivingwithHIVwhoreceivedantiretroviralsforpreventingmother-to-childtransmission
Afghanistan,2,500,1
Albania,1,0,0
Algeria,112,0,32
Angola,8709,19000,45
AntiguaandBarbuda,0,0,0
Argentina,1401,0,0
Armenia,27,0,0
Australia,0,0,0
Austria,0,0,0
Azerbaijan,61,200,46
Bahamas,0,0,0
Bangladesh,25,200,18
Barbados,0,0,0
Belarus,254,0,0
Belgium,0,0,0
Belize,51,100,76
Benin,2099,4000,53
Bhutan,7,0,0
Bolivia(PlurinationalStateof),229,500,56
BosniaandHerzegovina,0,0,0
Botswana,11845,13000,91
Brazil,8359,0,0
BruneiDarussalam,0,0,0
Bulgaria,12,0,75
BurkinaFaso,4285,5700,75
Burundi,3499,4500,78
C̫ted'Ivoire,17763,22000,80
CaboVerde,85,0,0
Cambodia,636,1000,65
Cameroon,22297,34000,66
Canada,0,0,0
CentralAfricanRepublic,2562,5400,47
Chad,3043,12000,25
Chile,224,0,95
China,3576,0,0
Colombia,781,1200,68
Comoros,0,0,0
Congo,585,3400,17
CookIslands,0,0,0
CostaRica,47,100,57
Croatia,0,0,0
Cuba,97,0,82
Cyprus,0,0,0
CzechRepublic,0,0,0
DemocraticPeople'sRepublicofKorea,0,0,0
DemocraticRepublicoftheCongo,12294,26000,47
Denmark,0,0,0
Djibouti,62,500,20
Dominica,0,0,0
DominicanRepublic,1072,1400,75
Ecuador,551,0,0
Egypt,13,200,8
ElSalvador,171,500,50
EquatorialGuinea,0,1600,0
Eritrea,385,1000,52
Estonia,0,0,0
Ethiopia,20149,28000,73
Fiji,15,0,0
Finland,0,0,0
France,0,0,0
Gabon,1403,2000,69
Gambia,723,1400,53
Georgia,57,0,0
Germany,0,0,0
Ghana,8299,10000,81
Greece,0,0,0
Grenada,0,0,0
Guatemala,398,1700,23
Guinea,3961,0,0
Guinea-Bissau,1906,2300,83
Guyana,183,500,61
Haiti,4504,4700,95
Honduras,197,500,40
Hungary,0,0,0
Iceland,0,0,0
India,10656,0,0
Indonesia,1368,14000,10
Iran(IslamicRepublicof),168,500,44
Iraq,0,0,0
Ireland,0,0,0
Israel,0,0,0
Italy,0,0,0
Jamaica,388,500,86
Japan,0,0,0
Jordan,0,0,0
Kazakhstan,304,0,0
Kenya,50259,75000,67
Kiribati,0,0,0
Kyrgyzstan,114,500,42
LaoPeople'sDemocraticRepublic,70,500,21
Latvia,50,0,89
Lebanon,0,0,0
Lesotho,8065,11000,72
Liberia,768,1500,52
Libya,0,0,0
Lithuania,0,0,0
Luxembourg,0,0,0
Madagascar,58,1500,4
Malawi,38506,60000,64
Malaysia,349,500,78
Maldives,0,0,0
Mali,2402,9200,26
Malta,0,0,0
MarshallIslands,0,0,0
Mauritania,91,1000,11
Mauritius,113,0,0
Mexico,1181,1400,82
Micronesia(FederatedStatesof),0,0,0
Mongolia,4,0,0
Montenegro,0,0,0
Morocco,206,500,52
Mozambique,94883,100000,91
Myanmar,3626,4600,79
Namibia,8779,7700,95
Nauru,0,0,0
Nepal,162,500,33
Netherlands,0,0,0
NewZealand,0,0,0
Nicaragua,107,200,79
Niger,471,0,0
Nigeria,60955,210000,29
Niue,0,0,0
Norway,0,0,0
Oman,0,0,0
Pakistan,58,1700,3
Palau,0,0,0
Panama,144,200,89
PapuaNewGuinea,616,1300,47
Paraguay,204,500,53
Peru,896,1000,86
Philippines,23,500,0
Poland,0,0,0
Portugal,0,0,0
RepublicofKorea,0,0,0
RepublicofMoldova,152,500,76
Romania,208,0,95
RussianFederation,0,0,0
Rwanda,9432,8700,95
SaintKittsandNevis,0,0,0
SaintLucia,0,0,0
SaintVincentandtheGrenadines,0,0,0
Samoa,0,0,0
SaoTomeandPrincipe,39,0,0
Senegal,1198,2300,53
Serbia,4,0,22
Seychelles,0,0,0
SierraLeone,2585,2700,0
Singapore,0,0,0
Slovakia,0,0,0
Slovenia,0,0,0
SolomonIslands,0,0,0
Somalia,49,1900,3
SouthAfrica,263674,240000,95
SouthSudan,1793,10000,18
Spain,0,0,0
SriLanka,9,100,16
Sudan,109,2400,5
Suriname,106,0,0
Swaziland,10830,11000,95
Sweden,0,0,0
Switzerland,0,0,0
SyrianArabRepublic,0,0,0
Tajikistan,270,500,65
Thailand,4587,4800,95
TheformerYugoslavrepublicofMacedonia,0,0,0
Timor-Leste,0,0,0
Togo,4496,5100,87
Tonga,0,0,0
TrinidadandTobago,0,0,0
Tunisia,23,0,0
Turkey,0,0,0
Turkmenistan,0,0,0
Tuvalu,0,0,0
Uganda,112909,120000,92
Ukraine,0,0,0
UnitedKingdomofGreatBritainandNorthernIreland,0,0,0
UnitedRepublicofTanzania,75334,84000,90
UnitedStatesofAmerica,0,0,0
Uruguay,123,0,95
Uzbekistan,501,0,0
Vanuatu,0,0,0
Venezuela(BolivarianRepublicof),559,1800,31
VietNam,1628,3000,54
Yemen,26,500,9
Zambia,55045,64000,86
Zimbabwe,58667,75000,78
